List of populations of cities and towns in New York State in 1960,
used in the first example of Section 18.3 and summarized in Table 18.2
of Bayesian Data Analysis.  Code = 400 if included in Sample 1 only, 300 if
included in Sample 2 only, 200 if included in both samples, and 100 if
included in neither sample.

population code
 20172 300 
 20129 400 
 19904 100 
 19881 100 
 19181 100 
 19118 100 
 18789 100 
 18775 200 
 18737 100 
 18662 100 
 18580 100 
 18210 100 
 18205 100 
 17968 100 
 17673 100 
 17499 100 
 17286 300 
 17085 100 
 16630 400 
 16122 100 
 15657 100 
 15478 100 
 15387 100 
 14757 100 
 14261 100 
 14225 400 
 14011 100 
 13922 100 
 13917 100 
 13907 100 
 13580 100 
 13500 100 
 13412 200 
 12883 100 
 12868 400 
  2758 100 
  2735 100 
  2731 100 
  2725 100 
  2715 100 
  2694 100 
  2693 200 
  2681 100 
  2681 100 
  2622 300 
  2608 100 
  2607 100 
  2584 100 
  2570 100 
  2565 100 
  2553 100 
  2521 100 
  2521 400 
  2499 100 
  2468 100 
  2461 200 
  2461 100 
  2426 100 
  2422 100 
  2410 100 
  2408 100 
  2403 400 
  2366 100 
  2346 100 
  2314 300 
  2307 100 
  2295 100 
  2263 100 
  2256 100 
  2250 100 
  2240 100 
  2213 400 
  2200 100 
  2196 100 
  2185 100 
  2167 100 
  2161 100 
  2160 100 
  2160 400 
  2143 400 
  2124 100 
  2123 100 
  2117 100 
  2108 100 
  2093 100 
   800 100 
   800 100 
   800 100 
   800 100 
   800 100 
   800 100 
   795 100 
   789 100 
   780 100 
   779 100 
   777 100 
   773 100 
   772 100 
   770 100 
   767 100 
   764 100 
   755 100 
   754 100 
   752 100 
   750 100 
   750 100 
   750 100 
   743 400 
   739 100 
   732 100 
   732 400 
   730 100 
   729 100 
   726 100 
   726 100 
   723 100 
   723 100 
   722 100 
   720 200 
   705 100 
   701 100 
   700 400 
   700 100 
   700 100 
   700 100 
   699 200 
   697 100 
   696 100 
   696 100 
   692 100 
   690 100 
   689 300 
   686 100 
   677 100 
   675 100 
 12784 100 
 12500 100 
 12254 100 
 12000 100 
 11677 100 
 11255 100 
 11109 100 
 11075 100 
 11062 100 
 10808 100 
 10795 100 
 10721 100 
 10506 100 
 10390 100 
 10362 100 
 10199 200 
 10171 100 
  9968 100 
  9396 100 
  9370 100 
  9268 100 
  9260 200 
  9175 200 
  9145 400 
  9082 100 
  9000 100 
  8979 100 
  8935 100 
  8914 100 
  8838 100 
  8818 100 
  8737 100 
  8732 100 
  8626 300 
  8560 100 
  8524 100 
  8480 100 
  8477 100 
  8381 100 
  8318 100 
  8317 100 
  8255 100 
  8152 100 
  7765 100 
  7752 100 
  7625 100 
  7439 100 
  7412 100 
  7398 200 
  7207 200 
  2083 200 
  2080 400 
  2070 100 
  2064 100 
  2064 100 
  2051 100 
  2042 100 
  2038 100 
  2026 100 
  2025 100 
  2019 100 
  2003 100 
  1997 100 
  1996 100 
  1979 100 
  1964 100 
  1953 100 
  1949 100 
  1930 100 
  1917 100 
  1914 100 
  1906 100 
  1901 100 
  1887 300 
  1862 100 
  1871 100 
  1863 200 
  1855 100 
  1848 100 
  1838 100 
  1833 100 
  1830 100 
  1788 100 
  1772 100 
  1768 100 
  1767 100 
  1754 100 
  1752 100 
  1750 100 
  1749 400 
  1748 100 
  1734 100 
  1733 100 
  1731 100 
  1731 300 
  1719 100 
  1717 100 
  1715 100 
  1714 200 
  1712 100 
   673 100 
   668 100 
   663 100 
   658 100 
   655 100 
   650 100 
   650 100 
   649 100 
   648 100 
   645 100 
   643 100 
   640 100 
   627 100 
   625 300 
   621 100 
   618 100 
   616 100 
   612 100 
   611 100 
   602 100 
   600 100 
   600 100 
   600 100 
   600 100 
   600 100 
   600 100 
   594 100 
   589 100 
   585 100 
   580 100 
   578 100 
   575 100 
   573 300 
   567 100 
   567 100 
   564 100 
   564 100 
   561 100 
   556 300 
   555 100 
   553 100 
   548 100 
   543 100 
   541 100 
   539 100 
   538 100 
   533 100 
   528 300 
   526 100 
   525 100 
 7184 200
 7166 100
 6992 100
 6954 100
 6831 100
 6812 100
 6805 100
 6791 100
 6789 200
 6744 100
 6681 100
 6538 100
 6485 100
 6423 100
 6421 400
 6316 200
 6269 100
 6166 100
 6128 100
 6114 200
 6066 100
 6062 100
 5985 400
 5972 100
 5967 100
 5950 300
 5907 100
 5877 100
 5830 100
 5825 100
 5803 100
 5771 100
 5770 100
 5763 100
 5700 100
 5669 400
 5507 100
 5494 100
 5460 300
 5417 100
 5410 100
 5326 400
 5256 300
 5222 300
 5200 100
 5182 100
 5157 100
 5157 300
 5105 100
 5098 100
 1697 100
 1690 400
 1647 400
 1645 100
 1641 100
 1630 100
 1623 100
 1619 100
 1610 100
 1586 100
 1583 100
 1580 100
 1575 100
 1574 100
 1550 400
 1549 100
 1533 200
 1507 100
 1492 100
 1468 100
 1468 100
 1465 100
 1461 100
 1460 100
 1448 100
 1443 100
 1438 100
 1431 100
 1423 100
 1416 100
 1416 100
 1414 100
 1405 100
 1400 100
 1398 100
 1390 200
 1382 400
 1379 100
 1366 100
 1365 100
 1365 300
 1361 300
 1353 100
 1348 100
 1344 100
 1337 100
 1336 100
 1334 300
 1325 100
 1320 100
  525 100
  524 100
  523 100
  522 100
  522 300
  520 400
  516 100
  511 100
  507 200
  507 100
  500 100
  500 100
  500 100
  500 100
  497 100
  493 100
  493 100
  490 100
  488 100
  483 100
  476 100
  471 100
  470 100
  465 100
  460 100
  457 100
  453 100
  450 100
  450 100
  450 100
  450 100
  446 200
  443 300
  439 300
  437 100
  434 100
  434 100
  425 200
  422 100
  420 400
  400 100
  400 100
  399 200
  398 300
  396 100
  391 100
  379 100
  378 100
  375 300
  373 200
  5094 100 
  5046 100 
  5020 100 
  5009 200 
  5003 300 
  4991 100 
  4949 100 
  4948 100 
  4946 100 
  4907 100 
  4896 100 
  4851 100 
  4835 100 
  4784 100 
  4708 100 
  4704 100 
  4673 100 
  4662 100 
  4654 100 
  4629 100 
  4594 100 
  4582 300 
  4469 100 
  4447 100 
  4311 400 
  4286 100 
  4235 300 
  4220 400 
  4216 100 
  4129 100 
  4041 400 
  4023 400 
  4016 100 
  4000 100 
  3991 200 
  3962 100 
  3944 100 
  3933 300 
  3909 200 
  3906 100 
  3878 100 
  3872 100 
  3855 200 
  3852 100 
  3846 100 
  3829 100 
  3795 100 
  3788 100 
  3749 100 
  3737 100 
  1317 100 
  1304 100 
  1292 100 
  1290 100 
  1289 100 
  1279 100 
  1276 100 
  1274 100 
  1267 100 
  1265 100 
  1263 100 
  1262 100 
  1258 100 
  1248 100 
  1248 100 
  1247 200 
  1247 100 
  1244 200 
  1237 100 
  1237 100 
  1237 100 
  1236 100 
  1234 100 
  1231 100 
  1228 100 
  1224 100 
  1215 100 
  1215 100 
  1210 100 
  1201 300 
  1181 300 
  1180 400 
  1178 100 
  1176 100 
  1168 100 
  1166 100 
  1166 200 
  1156 300 
  1156 100 
  1150 100 
  1149 400 
  1146 100 
  1146 300 
  1126 100 
  1114 100 
  1109 200 
  1097 100 
  1095 100 
  1090 100 
  1086 100 
   373 100 
   372 100 
   372 100 
   369 100 
   365 300 
   363 100 
   363 300 
   359 100 
   355 100 
   351 100 
   350 100 
   348 100 
   345 100 
   335 100 
   335 100 
   332 200 
   330 100 
   328 100 
   327 400 
   323 100 
   321 100 
   321 100 
   314 200 
   314 100 
   309 100 
   303 400 
   300 100 
   300 100 
   300 100 
   299 100 
   295 100 
   295 100 
   295 100 
   292 100 
   291 100 
   286 100 
   277 100 
   275 100 
   273 100 
   270 100 
   253 100 
   250 400 
   250 100 
   200 100 
   180 400 
   171 200 
   164 400 
   162 300 
   125 100 
   111 100 
    1083 100 
    1082 100 
    1082 100 
    1079 400 
    1078 100 
    1078 100 
    1076 100 
    1068 100 
    1066 100 
    1049 100 
    1045 100 
    1040 200 
    1034 100 
    1033 100 
    1033 100 
    1030 100 
    1027 200 
    1026 100 
    1026 100 
    1025 300 
    1016 100 
    1009 300 
    1004 100 
    1004 100 
    1003 100 
     988 100 
     982 100 
     976 300 
     976 100 
     975 100 
     972 100 
     964 100 
     960 100 
     956 100 
     956 400 
     956 200 
     950 200 
     950 100 
     950 100 
     950 100 
     946 100 
     935 100 
     932 300 
     931 200 
     929 100 
     925 100 
     925 100 
     921 100 
     917 300 
     913 100 
      85 100 
      67 100 
      28 100 
      19 100 

