"hidA","hidB","did","giftsAB","giftsBA","offset","drel1","drel2","drel3","drel4","dlndist","dass","d0125"
8,22,161,4,6,0,0,1,0,0,-1.25,0.06,0
8,23,162,0,7,-0.092,0,0,0,1,-1.55,0,0
8,24,163,1,2,0,0,0,1,0,-1.098,0,0
8,25,164,0,2,-0.637,0,0,0,1,-1.708,0.111,0
9,10,165,0,0,-0.186,0,0,0,0,-1.687,0,0
9,11,166,0,0,0,0,0,0,1,-1.75,0.003,0
9,12,167,1,0,-0.471,0,0,0,0,-1.867,0,0
9,13,168,0,3,-0.019,0,0,0,0,-1.734,0,0
9,14,169,1,1,-0.011,0,0,0,1,-1.991,0.006,0
9,15,170,9,0,-0.014,0,0,0,0,-2.144,0.011,0
9,16,171,10,3,-0.019,0,0,0,0,-2.143,0.006,0
9,17,172,11,8,-0.019,0,1,0,0,-1.644,0.091,0
9,18,173,4,2,-0.019,0,0,0,0,-2.191,0.023,0
9,19,174,9,3,0,0,1,0,0,-2.729,0.066,0
9,20,175,3,23,-0.028,0,0,1,0,-2.607,0.112,0
9,21,176,3,15,-0.031,0,0,0,1,-2.309,0.013,0
9,22,177,1,3,0,0,1,0,0,-2.129,0.009,0
9,23,178,1,2,-0.092,0,0,0,1,-1.625,0.021,0
9,24,179,75,26,0,1,0,0,0,-3.44,0.477,0
9,25,180,0,0,-0.637,0,0,0,1,-1.646,0.006,0
10,11,181,16,1,-0.186,0,0,1,0,-2.859,0.028,0
10,12,182,15,0,-0.627,0,0,0,1,-3.078,0,0
10,13,183,11,10,-0.21,0,0,1,0,-3.522,0.021,0
10,14,184,13,3,-0.21,0,0,1,0,-2.113,0.023,0
10,15,185,16,1,-0.186,0,0,0,0,-2.205,0,0
10,16,186,16,2,-0.186,0,0,0,0,-2.648,0,0
10,17,187,9,3,-0.21,0,0,0,0,-1.537,0,0
10,18,188,2,0,-0.21,0,0,0,0,-1.639,0,0
10,19,189,4,0,-0.186,0,0,0,0,-1.63,0,0
10,20,190,3,0,-0.186,0,0,0,1,-1.807,0.011,0
10,21,191,6,5,-0.223,0,0,0,0,-2.012,0,0
10,22,192,6,1,-0.186,0,0,0,0,-1.858,0,0
10,23,193,4,3,-0.254,0,0,1,0,-1.992,0,0
10,24,194,2,0,-0.186,0,0,0,0,-1.784,0.029,0
10,25,195,48,7,-0.863,0,0,0,1,-3.859,0.271,0
11,12,196,22,36,-0.471,1,0,0,0,-3.638,0.454,0
11,13,197,6,92,-0.019,1,0,0,0,-3.583,0.18,0
11,14,198,2,10,-0.011,0,1,0,0,-2.642,0.02,0
11,15,199,1,1,-0.014,0,0,0,0,-2.667,0.015,0
11,16,200,1,3,-0.019,0,0,0,0,-2.461,0,0
11,17,201,0,2,-0.019,0,0,0,1,-1.835,0,0
11,18,202,0,0,-0.019,0,0,0,0,-1.889,0,0
11,19,203,0,1,0,0,0,0,1,-1.801,0,0
11,20,204,0,2,-0.028,0,0,1,0,-2.031,0.052,0
11,21,205,0,6,-0.031,0,0,0,1,-2.348,0.008,0
11,22,206,0,0,0,0,0,0,1,-2.206,0.027,0
11,23,207,0,13,-0.092,0,1,0,0,-2.533,0.028,0
11,24,208,0,4,0,0,0,0,0,-1.906,0,0
11,25,209,1,0,-0.637,0,0,1,0,-2.546,0.016,0
12,13,210,6,48,-0.502,0,0,1,0,-3.758,0.209,0
12,14,211,3,0,-0.488,0,0,1,0,-2.588,0.039,0
12,15,212,1,0,-0.471,0,0,0,0,-2.739,0.006,0
12,16,213,0,2,-0.502,0,0,0,0,-2.828,0.007,0
12,17,214,0,0,-0.471,0,0,0,0,-1.767,0,0
12,18,215,0,0,-0.502,0,0,0,0,-1.905,0,0
12,19,216,0,1,-0.471,0,0,0,0,-1.866,0,0
12,20,217,0,1,-0.471,0,0,0,1,-2.106,0.019,0
12,21,218,1,6,-0.52,0,0,0,0,-2.419,0.005,0
12,22,219,0,0,-0.471,0,0,0,0,-2.207,0.015,0
12,23,220,0,5,-0.553,0,0,1,0,-2.305,0.006,0
12,24,221,0,1,-0.471,0,0,0,0,-2.023,0,0
12,25,222,1,0,-1.236,0,0,0,1,-2.729,0,0
13,14,223,51,27,-0.019,0,1,0,0,-2.364,0.228,0
13,15,224,5,1,-0.033,0,0,0,0,-2.447,0,0
13,16,225,8,1,-0.039,0,0,0,0,-2.62,0,0
13,17,226,0,0,-0.039,0,0,0,0,-1.68,0,0
13,18,227,0,0,-0.039,0,0,0,0,-1.768,0,0
13,19,228,2,0,-0.019,0,0,0,0,-1.726,0.173,0
13,20,229,10,10,-0.048,0,0,0,1,-1.931,0.036,0
13,21,230,2,0,-0.051,0,0,0,0,-2.193,0.034,0
13,22,231,0,0,-0.019,0,0,0,0,-2.033,0,0
13,23,232,2,2,-0.113,0,0,1,0,-2.234,0,0
13,24,233,1,2,-0.019,0,0,0,0,-1.863,0,0
13,25,234,11,0,-0.637,0,0,0,1,-2.984,0,0
14,15,235,6,2,-0.025,0,0,0,0,-3.723,0.015,0
14,16,236,0,2,-0.031,0,0,0,0,-2.243,0.012,0
14,17,237,5,7,-0.031,0,0,0,1,-2.323,0.036,0
14,18,238,0,2,-0.031,0,0,0,0,-2.508,0,0
14,19,239,2,3,-0.011,0,0,0,1,-2.246,0,0
14,20,240,2,12,-0.039,0,0,1,0,-2.616,0.058,0
14,21,241,2,13,-0.042,0,0,0,1,-3.272,0.004,0
14,22,242,0,1,-0.011,0,0,0,1,-3.224,0.008,0
14,23,243,1,10,-0.104,0,1,0,0,-2.808,0.067,0
14,24,244,1,1,-0.011,0,0,0,0,-2.249,0,0
14,25,245,0,0,-0.637,0,0,1,0,-1.963,0.033,0
15,16,246,11,35,-0.033,1,0,0,0,-2.472,0.464,0
15,17,247,0,7,-0.033,0,0,0,0,-2.135,0.059,0
15,18,248,0,2,-0.033,0,0,0,1,-2.475,0.01,0
15,19,249,1,1,-0.014,0,0,0,1,-2.339,0,0
15,20,250,1,13,-0.031,0,1,0,0,-2.775,0.048,0
15,21,251,2,39,-0.045,0,0,0,1,-3.647,0.052,0
15,22,252,2,8,-0.014,0,0,0,0,-3.073,0.059,0
15,23,253,0,3,-0.107,0,0,0,0,-2.5,0.01,0
15,24,254,0,3,-0.014,0,0,0,0,-2.437,0.013,0
15,25,255,0,2,-0.637,0,0,0,0,-2.055,0.044,0
16,17,256,2,3,-0.039,0,0,0,0,-1.596,0.074,0
16,18,257,1,3,-0.039,0,0,1,0,-1.863,0,0
16,19,258,3,7,-0.019,0,0,1,0,-1.955,0,0
16,20,259,2,8,-0.048,0,0,1,0,-2.16,0.055,0
16,21,260,2,39,-0.051,0,0,1,0,-2.334,0.049,0
16,22,261,0,7,-0.019,0,0,0,0,-2.067,0.055,0
16,23,262,1,9,-0.113,0,0,0,0,-1.895,0.044,0
16,24,263,0,2,-0.019,0,0,0,0,-2.248,0,0
16,25,264,2,1,-0.637,0,0,0,1,-2.582,0,0
17,18,265,4,2,-0.039,0,0,0,0,-2.477,0.056,0
17,19,266,8,10,-0.019,0,1,0,0,-2.01,0.016,0
17,20,267,4,16,-0.048,0,0,0,0,-2.117,0.018,0
17,21,268,3,9,-0.051,0,0,0,1,-2.196,0.007,0
17,22,269,8,19,-0.019,0,1,0,0,-2.511,0.145,0
17,23,270,1,3,-0.113,0,0,0,1,-2.376,0,0
17,24,271,5,5,-0.019,0,0,1,0,-1.816,0.082,0
17,25,272,3,0,-0.674,0,0,0,1,-1.446,0,0
18,19,273,3,1,-0.019,0,0,0,1,-2.996,0.035,0
18,20,274,2,1,-0.048,0,0,0,0,-3.101,0,0
18,21,275,15,62,-0.042,1,0,0,0,-2.797,0.447,0
18,22,276,1,1,-0.019,0,0,1,0,-3.18,0.065,0
18,23,277,0,1,-0.113,0,0,0,0,-2.085,0,0
18,24,278,4,3,-0.019,0,0,0,0,-2.482,0.053,0
18,25,279,1,0,-0.674,0,0,0,1,-1.555,0.045,0
19,20,280,1,15,-0.028,0,0,0,0,-3.38,0.082,0
19,21,281,5,17,-0.031,0,0,0,1,-2.649,0.14,0
19,22,282,10,15,0,0,1,0,0,-2.615,0.109,0
19,23,283,0,3,-0.092,0,0,0,1,-1.829,0.131,0
19,24,284,2,1,0,0,0,1,0,-3.127,0,0
19,25,285,3,2,-0.637,0,0,0,1,-1.563,0,0
20,21,286,9,12,-0.059,0,0,0,0,-3.302,0.015,0
20,22,287,3,2,-0.028,0,0,0,0,-3.079,0.053,0
20,23,288,3,8,-0.122,0,1,0,0,-2.038,0.119,0
20,24,289,13,3,-0.028,0,0,0,1,-3.161,0.074,0
20,25,290,0,0,-0.637,0,0,0,1,-1.721,0.032,0
21,22,291,18,5,-0.031,0,0,0,1,-3.486,0.019,0
21,23,292,9,1,-0.125,0,0,0,1,-2.326,0.015,0
21,24,293,0,0,-0.031,0,0,0,0,-2.69,0.01,0
21,25,294,9,1,-0.696,0,0,1,0,-1.895,0.043,0
22,23,295,1,1,-0.092,0,0,0,1,-2.434,0.076,0
22,24,296,0,1,0,0,0,1,0,-2.442,0,0
22,25,297,2,0,-0.637,0,0,0,1,-1.747,0.026,0
23,24,298,2,0,-0.092,0,0,0,0,-1.798,0,0
23,25,299,4,0,-0.818,0,0,1,0,-1.848,0.031,0
24,25,300,2,0,-0.637,0,0,0,0,-1.723,0.042,0
